row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
192,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
193,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
194,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
195,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
196,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
197,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
198,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
199,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
200,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
201,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
202,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
203,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
204,San Pedro,PESAJE DESDE VENTA,,,,,,,,,,,,,,,,,VENTA,,,,,,PESAJE DESDE VENTA
