row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
589,San Pedro,Impactación Ruminal,,,,,,,,,,,,,,,,,,,,Impactación Ruminal,,,Impactación Ruminal
590,San Pedro,Impactación Ruminal,,,,,,,,,,,,,,,,,,,,Impactación Ruminal,,,Impactación Ruminal
591,San Pedro,Cae quebrada,,,,,,,,,,,,,,,,,,,,,,,Cae quebrada
592,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
593,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
594,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
595,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
596,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
597,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
598,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
599,San Pedro,venta,,,,,,,,,,,,,,,,,venta,,,,,,venta
600,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
601,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
602,San Pedro,cuerpo extraño,,,,,,,,,,,,,,,,,,,,,,,cuerpo extraño
603,San Pedro,Cae quebrada,,,,,,,,,,,,,,,,,,,,,,,Cae quebrada
604,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
605,San Pedro,Flaca PTBc,,,,,,,,,,,,,,,,,,,,,,,Flaca PTBc
606,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
607,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
608,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
609,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
610,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
611,San Pedro,Pisado vaca,,,,,,,,,,,,,,,,,,,,,,,Pisado vaca
612,San Pedro,muerte,,,,,,,,,,,,,,,,,,,,,,,muerte
613,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
614,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
615,San Pedro,Hip lock,,,,,,,,,,,,,,,,,,,,,,,Hip lock
616,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
617,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
618,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
619,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
620,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
621,San Pedro,hipomagnesemia,,,,,,,,,,,,,,,,,,,,,,,hipomagnesemia
622,San Pedro,cae cuneta,,,,,,,,,,,,,,,,,,,,,,,cae cuneta
623,San Pedro,cae cuneta,,,,,,,,,,,,,,,,,,,,,,,cae cuneta
624,San Pedro,Hip lock,,,,,,,,,,,,,,,,,,,,,,,Hip lock
625,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
626,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
627,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
628,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
629,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
630,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
631,San Pedro,Hip lock,,,,,,,,,,,,,,,,,,,,,,,Hip lock
632,San Pedro,cae pozo,,,,,,,,,,,,,,,,,,,,,,,cae pozo
633,San Pedro,Fractura columna,,,,,,,,,,,,,,,,,,,,,,,Fractura columna
634,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
635,San Pedro,Cae canal Misle,,,,,,,,,,,,,,,,,,,,,,,Cae canal Misle
636,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
637,San Pedro,muerte,,,,,,,,,,,,,,,,,,,,,,,muerte
638,San Pedro,Baja condición corporal,,,,,,,,,,,,,,,,,,,,,,,Baja condición corporal
639,San Pedro,Hip lock,,,,,,,,,,,,,,,,,,,,,,,Hip lock
640,San Pedro,Acidosis ruminal,,,,,,,,,,,,,,,,,,,,,,,Acidosis ruminal
641,San Pedro,Hip lock,,,,,,,,,,,,,,,,,,,,,,,Hip lock
642,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
643,San Pedro,Pisado vaca,,,,,,,,,,,,,,,,,,,,,,,Pisado vaca
644,San Pedro,Cae quebrada,,,,,,,,,,,,,,,,,,,,,,,Cae quebrada
645,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
646,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
647,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
648,San Pedro,paralisis ruminal,,,,,,,,,,,,,,,,,,,,,,,paralisis ruminal
649,Arriendo las quebradas,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
650,Arriendo las quebradas,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
651,Arriendo las quebradas,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
652,Arriendo las quebradas,Hemorragia post Castración,,,,,,,,,,,,,,,,,,,,,,,Hemorragia post Castración
653,Arriendo Santa Isabel,Neumonia no responde a tratamiento (flaco),,,,,,,,,,,,,,,,,,,tratamiento,,,,Neumonia no responde a tratamiento  (flaco)
654,Arriendo Santa Isabel,Infección Pene Post Castración,,,,,,,,,,,,,,,,,,,,Infección Pene Post,,,Infección Pene Post Castración
655,Arriendo Santa Isabel,Fractura columna por monta,,,,,,,,,,,,,,,,,,,,,,,Fractura columna por monta
656,Arriendo Santa Isabel,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
657,Arriendo Santa Isabel,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
658,Arriendo Santa Isabel,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
659,Arriendo Santa Isabel,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
660,Arriendo Santa Isabel,coccidiosis ( no responde a tratamiento),,,,,,,,,,,,,,,,,,,tratamiento,,,,coccidiosis ( no responde a tratamiento)
661,Arriendo las quebradas,Fractura columna,,,,,,,,,,,,,,,,,,,,,,,Fractura columna
662,Arriendo las quebradas,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
663,Arriendo las quebradas,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
664,Arriendo las quebradas,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
665,San Pedro,Hip lock,,,,,,,,,,,,,,,,,,,,,,,Hip lock
666,San Pedro,cuerpo extraño,,,,,,,,,,,,,,,,,,,,,,,cuerpo extraño
667,San Pedro,Baja condición corporal,,,,,,,,,,,,,,,,,,,,,,,Baja condición corporal
668,San Pedro,hipomagnesemia,,,,,,,,,,,,,,,,,,,,,,,hipomagnesemia
669,San Pedro,posible falla hepatica,,,,,,,,,,,,,,,,,,,,,,,posible falla hepatica
670,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
671,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
672,San Pedro,perros,,,,,,,,,,,,,,,,,,,,,,,perros
673,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
674,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
675,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
676,San Pedro,coccidiosis,,,,,,,,,,,,,,,,,,,,,,,coccidiosis
677,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
678,San Pedro,hipomagnesemia,,,,,,,,,,,,,,,,,,,,,,,hipomagnesemia
679,San Pedro,prolapso uterino,,,,,,,,,,,,,,,,,,,,,,,prolapso uterino
680,San Pedro,pisado vacas,,,,,,,,,,,,,,,,,,,,,,,pisado vacas
681,San Pedro,pisado vacas,,,,,,,,,,,,,,,,,,,,,,,pisado vacas
682,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
683,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
684,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
685,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
686,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
687,San Pedro,Cae canal Misle,,,,,,,,,,,,,,,,,,,,,,,Cae canal Misle
688,San Pedro,guachero sin madre,,,,,,,,,,,,,,,,,,,,,,,guachero sin madre
689,San Pedro,Cae canal Misle,,,,,,,,,,,,,,,,,,,,,,,Cae canal Misle
690,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
691,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
692,San Pedro,muerte subita,,,,,,,,,,,,,,,,,,,,,,,muerte subita
693,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
694,San Pedro,entumido,,,,,,,,,,,,,,,,,,,,,,,entumido
695,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
696,San Pedro,paralisis ruminal,,,,,,,,,,,,,,,,,,,,,,,paralisis ruminal
697,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
698,San Pedro,hipomagnesemia,,,,,,,,,,,,,,,,,,,,,,,hipomagnesemia
699,San Pedro,Baja condición corporal,,,,,,,,,,,,,,,,,,,,,,,Baja condición corporal
700,San Pedro,hipomagnesemia,,,,,,,,,,,,,,,,,,,,,,,hipomagnesemia
701,San Pedro,muerte subita,,,,,,,,,,,,,,,,,,,,,,,muerte subita
702,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
703,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
704,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
705,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
706,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
707,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
708,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
709,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
710,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
711,Arriendo Santa Isabel,enterrada en el barro,,,,,,,,,,,,,,,,,,,,,,,enterrada en el barro
712,Arriendo Santa Isabel,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
713,San Pedro,hipomagnesemia,,,,,,,,,,,,,,,,,,,,,,,hipomagnesemia
714,Arriendo las quebradas,flaco,,,,,,,,,,,,,,,,,,,,,,,flaco
715,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
716,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
717,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
718,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
719,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
720,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
721,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
722,Arriendo las quebradas,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
723,Arriendo Santa Isabel,Baja condición corporal,,,,,,,,,,,,,,,,,,,,,,,Baja condición corporal
724,San Pedro,Nylon,,,,,,,,,,,,,,,,,,,,,,,Nylon
725,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
726,San Pedro,Baja condición corporal,,,,,,,,,,,,,,,,,,,,,,,Baja condición corporal
727,San Pedro,Cae quebrada,,,,,,,,,,,,,,,,,,,,,,,Cae quebrada
728,San Pedro,posible falla hepatica,,,,,,,,,,,,,,,,,,,,,,,posible falla hepatica
729,San Pedro,neumonia cronica,,,,,,,,,,,,,,,,,,,,,,,neumonia cronica
730,San Pedro,Nylon,,,,,,,,,,,,,,,,,,,,,,,Nylon
731,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
732,San Pedro,hipomagnesemia,,,,,,,,,,,,,,,,,,,,,,,hipomagnesemia
733,San Pedro,Hip lock,,,,,,,,,,,,,,,,,,,,,,,Hip lock
734,San Pedro,entumido,,,,,,,,,,,,,,,,,,,,,,,entumido
735,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
736,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
737,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
738,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
739,San Pedro,sin madre,,,,,,,,,,,,,,,,,,,,,,,sin madre
740,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
741,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
742,San Pedro,temporal,,,,,,,,,,,,,,,,,,,,,,,temporal
743,San Pedro,empacho,,,,,,,,,,,,,,,,,,,,,,,empacho
744,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
745,San Pedro,Baja condición corporal,,,,,,,,,,,,,,,,,,,,,,,Baja condición corporal
746,San Pedro,no responde a tratamiento,,,,,,,,,,,,,,,,,,,tratamiento,,,,no responde a tratamiento
747,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
748,San Pedro,Neumonia fulminante,,,,,,,,,,,,,,,,,,,,,,,Neumonia fulminante
749,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
750,San Pedro,jotes (diarrea),,,,,,,,,,,,,,,,,,,,,,,jotes (diarrea)
751,San Pedro,septicemia (exceso de líquido en utrero),,,,,,,,,,,,,,,,,,,,,,,septicemia (exceso de líquido en utrero)
752,San Pedro,septicemia (exceso de líquido en utrero),,,,,,,,,,,,,,,,,,,,,,,septicemia (exceso de líquido en utrero)
753,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
754,San Pedro,diarrea,,,,,,,,,,,,,,,,,,,,,,,diarrea
755,San Pedro,jotes,,,,,,,,,,,,,,,,,,,,,,,jotes
756,San Pedro,guachero sin madre,,,,,,,,,,,,,,,,,,,,,,,guachero sin madre
757,San Pedro,pisado vacas,,,,,,,,,,,,,,,,,,,,,,,pisado vacas
