ID,Fundo,N° Guía,Animales,Tipo ganado,Peso (kg),Animales pesados,Observaciones,Estado,Fecha venta,Creado por,Fecha creado
4430,feedlot,96,49,Novillo: 49,20139,49,49 novillos engorda a Ferias Tattersall SA ,Completo,"""2023-06-08T00:00:00.000Z""",guentrepan,"""2023-06-08T00:00:00.000Z"""
4429,feedlot,97,45,"Vaca: 16
Vaquilla: 29",21337,45,45 vaquillas gordas a frigorífico Osorno ,Completo,"""2023-06-08T00:00:00.000Z""",guentrepan,"""2023-06-08T00:00:00.000Z"""
4427,San Pedro,95,11,"Ternera: 1
Ternero: 5
Vaca: 5",2842,11,"venta desecho 
6 terneros 
5 vacas
",Completo,"""2023-06-07T00:00:00.000Z""",guentrepan,"""2023-06-07T00:00:00.000Z"""
4426,feedlot,95,39,"Novillo: 9
Vaca: 27
Vaquilla: 3",14458,39,venta feria Freire Tattersall ,Completo,"""2023-06-07T00:00:00.000Z""",guentrepan,"""2023-06-07T00:00:00.000Z"""
4404,feedlot,91,20,Novillo: 20,12088,20,20 novillos Gordos a Frigorífico Temuco (Pampa Chile),Completo,"""2023-05-27T00:00:00.000Z""",guentrepan,"""2023-05-27T00:00:00.000Z"""
4394,feedlot,,48,"Novillo: 33
Vaca: 1
Vaquilla: 14",20018,48,17 vaqs + 31 novillos a Feria Tattersall Freire ,Completo,"""2023-05-24T00:00:00.000Z""",guentrepan,"""2023-05-23T00:00:00.000Z"""
4393,feedlot,,38,Vaca: 38,19580,38,38 vacas (desposte) a frigorífico Temuco ,Completo,"""2023-05-23T00:00:00.000Z""",guentrepan,"""2023-05-23T00:00:00.000Z"""
4392,feedlot,,47,"Novillo: 1
Vaca: 19
Vaquilla: 27",17360,47,16 vacas + 31 vaquillas a Feria tattersall Freire ,Completo,"""2023-05-24T00:00:00.000Z""",guentrepan,"""2023-05-23T00:00:00.000Z"""
4387,feedlot,,47,"Vaca: 16
Vaquilla: 31",22056,47,45 vaquillas gordas a frigorífico Temuco ,Completo,"""2023-05-22T00:00:00.000Z""",guentrepan,"""2023-05-22T00:00:00.000Z"""
4374,feedlot,86,40,Vaca: 40,23806,40,40 vacas engorda (americanas) a Frigorífico Temuco ,Completo,"""2023-05-17T00:00:00.000Z""",guentrepan,"""2023-05-17T00:00:00.000Z"""
4372,feedlot,84,51,"Novillo: 19
Vaca: 9
Vaquilla: 23",18551,51,51 animales a Feria tattersall Freire ,Completo,"""2023-05-17T00:00:00.000Z""",guentrepan,"""2023-05-16T00:00:00.000Z"""
4365,feedlot,,45,Vaquilla: 45,21667,45,45 vaquillas gordas Frigorífico Temuco ,Completo,"""2023-05-15T00:00:00.000Z""",guentrepan,"""2023-05-15T00:00:00.000Z"""
4364,feedlot,,45,Novillo: 45,21598,45,45 novillos Frigorífico Temuco ,Completo,"""2023-05-15T00:00:00.000Z""",guentrepan,"""2023-05-15T00:00:00.000Z"""
4355,feedlot,,45,Novillo: 45,22380,45,45 novillos gordos a Frigorífico Temuco.,Completo,"""2023-05-12T00:00:00.000Z""",guentrepan,"""2023-05-12T00:00:00.000Z"""
4353,feedlot,,29,Vaca: 29,14801,29,29 vacas tratables a China destino frigorífico Temuco SA ,Completo,"""2023-05-10T00:00:00.000Z""",guentrepan,"""2023-05-10T00:00:00.000Z"""
4349,feedlot,,36,Vaca: 36,18989,36,36 vacas Feria Tattersall Freire ,Completo,"""2023-05-10T00:00:00.000Z""",guentrepan,"""2023-05-10T00:00:00.000Z"""
4346,San Pedro,,18,"Ternera: 10
Ternero: 8",2436,18,"8 terneros
10 terneras, feria tattersall Freire ",Completo,"""2023-05-09T00:00:00.000Z""",guentrepan,"""2023-05-09T00:00:00.000Z"""
4343,feedlot,2312,45,"Vaca: 35
Vaquilla: 10",23975,45,45 vaquillas gordas Frigorífico Temuco.,Completo,"""2023-05-08T00:00:00.000Z""",guentrepan,"""2023-05-08T00:00:00.000Z"""
4337,feedlot,2311,45,"Novillo: 25
Vaquilla: 20",22841,45,25 novillos gordos y 20 vaquillas gordas Frigorífico Temuco.,Completo,"""2023-05-02T00:00:00.000Z""",guentrepan,"""2023-05-02T00:00:00.000Z"""
4334,feedlot,2310,45,Novillo: 45,23650,45,45 novillos gordos Frigorífico Temuco ,Completo,"""2023-05-01T00:00:00.000Z""",guentrepan,"""2023-04-29T00:00:00.000Z"""
