row_num,fundo_u_origen,obs_raw_flat,rx_diio,rx_rut,rx_pesos_kg,rx_pesos_pv,rx_guia,rx_precio_dollar,rx_precio_texto,rx_precio_kg,rx_precio_unitario,rx_cantidad_animal,rx_fecha_dd_mm_yyyy,rx_fecha_texto,rx_patente_auto,rx_camion_prefix,rx_carro_prefix,rx_kw_compra,rx_kw_venta,rx_kw_traslado,rx_kw_tratamiento,rx_nombre_propio,rx_url,rx_porcentaje,obs_lines_joined
1310,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1311,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1312,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1313,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1314,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1315,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1316,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1317,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1318,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1319,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1320,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1321,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1322,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1323,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1324,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1325,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1326,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1327,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1328,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1329,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1330,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1331,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1332,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1333,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1334,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1335,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1336,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1337,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1338,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
1339,Arriendo Santa Isabel,Estimulación celo,,,,,,,,,,,,,,,,,,,,,,,Estimulación celo
