Diio,Fundo,Tipo ganado,Fecha nacimiento,Estado reproductivo,Estado leche,Motivo,Detalle,Fecha baja,Creado por,Fecha creado
18085908,San Pedro,Ternera,"""2019-08-01T00:00:00.000Z""",,,Muerte,naylon y pelotas de pelo,"""2019-10-30T00:00:00.000Z""",guentrepan,"""2019-11-02T00:00:00.000Z"""
18086476,San Pedro,Ternero,"""2019-09-02T00:00:00.000Z""",,,Muerte,Perros,"""2019-10-30T00:00:00.000Z""",guentrepan,"""2019-11-02T00:00:00.000Z"""
18086680,San Pedro,Ternero,"""2019-10-03T00:00:00.000Z""",,,Diarrea,no responde a tratamiento,"""2019-10-18T00:00:00.000Z""",guentrepan,"""2019-11-02T00:00:00.000Z"""
4264793,San Pedro,Vaca,"""2013-07-15T00:00:00.000Z""",Parida,En Leche,Neumonia,neumonia cronica,"""2019-10-18T00:00:00.000Z""",guentrepan,"""2019-11-02T00:00:00.000Z"""
18085855,San Pedro,Ternero,"""2019-07-28T00:00:00.000Z""",,,Muerte,paralisis ruminal,"""2019-10-17T00:00:00.000Z""",guentrepan,"""2019-10-21T00:00:00.000Z"""
18086628,San Pedro,Ternera,"""2019-09-21T00:00:00.000Z""",,,Muerte,Perros,"""2019-10-01T00:00:00.000Z""",guentrepan,"""2019-10-11T00:00:00.000Z"""
18085885,San Pedro,Ternera,"""2019-07-31T00:00:00.000Z""",,,Muerte,neumonía cronica,"""2019-10-05T00:00:00.000Z""",guentrepan,"""2019-10-11T00:00:00.000Z"""
15453828,San Pedro,Vaca,"""2017-08-15T00:00:00.000Z""",Parida,En Leche,Muerte,Flaca PTBc,"""2019-10-01T00:00:00.000Z""",guentrepan,"""2019-10-11T00:00:00.000Z"""
4237078,San Pedro,Vaca,"""2011-10-15T00:00:00.000Z""",Parida,En Leche,Muerte,hipomagnesemia,"""2019-10-03T00:00:00.000Z""",guentrepan,"""2019-10-11T00:00:00.000Z"""
4263795,San Pedro,Vaca,"""2012-10-15T00:00:00.000Z""",Parida,En Leche,Muerte,hipomagnesemia,"""2019-10-03T00:00:00.000Z""",guentrepan,"""2019-10-11T00:00:00.000Z"""
18086345,San Pedro,Ternero,"""2019-08-25T00:00:00.000Z""",,,Muerte,coccidiosis,"""2019-09-30T00:00:00.000Z""",guentrepan,"""2019-10-01T00:00:00.000Z"""
4221399,San Pedro,Vaca,"""2010-11-10T00:00:00.000Z""",Preñada,En Leche,Impactacion ruminal,posible falla hepatica,"""2019-09-30T00:00:00.000Z""",guentrepan,"""2019-10-01T00:00:00.000Z"""
16464279,San Pedro,Vaquilla,"""2018-09-01T00:00:00.000Z""",Preencaste,,Muerte,Baja condición corporal,"""2019-09-30T00:00:00.000Z""",guentrepan,"""2019-10-01T00:00:00.000Z"""
14475896,San Pedro,Vaca,"""2017-08-15T00:00:00.000Z""",Parida,En Leche,Muerte,paralisis ruminal,"""2019-09-25T00:00:00.000Z""",guentrepan,"""2019-10-01T00:00:00.000Z"""
