Diio,Fecha nacimiento,Tipo ganado,Raza,Fundo,Estado reproductivo,Estado leche,Observaciones,Partos,Diio Madre,Padre,Abuelo,Origen,Fecha creado
21430328,"""2021-09-23T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,4264688,Toro Campo,,,"""2021-09-23T00:00:00.000Z"""
21430348,"""2021-09-25T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,20055887,Toro Campo,,,"""2021-09-30T00:00:00.000Z"""
21430352,"""2021-09-25T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,10591135,Toro Campo,,,"""2021-09-30T00:00:00.000Z"""
21430355,"""2021-09-26T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,4236936,Toro Campo,,,"""2021-09-30T00:00:00.000Z"""
21430367,"""2021-09-27T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,16464845,Toro Campo,,,"""2021-09-30T00:00:00.000Z"""
21430377,"""2021-09-28T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,14476042,Toro Campo,,,"""2021-09-30T00:00:00.000Z"""
21430378,"""2021-09-28T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,15748781,Toro Campo,,,"""2021-09-30T00:00:00.000Z"""
21430390,"""2021-09-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,4264092,Toro Campo,,,"""2021-09-30T00:00:00.000Z"""
21430396,"""2021-09-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,22620331,Toro Campo,,,"""2021-09-30T00:00:00.000Z"""
21430415,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,18086773,Toro Campo,,,"""2021-10-12T00:00:00.000Z"""
21430426,"""2021-10-02T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,10590821,Toro Campo,,,"""2021-10-12T00:00:00.000Z"""
21430431,"""2021-10-02T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,16464870,Toro Campo,,,"""2021-10-12T00:00:00.000Z"""
21430442,"""2021-09-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Vacía,En Leche,,3,18086749,Toro Campo,,,"""2021-11-04T00:00:00.000Z"""
21430444,"""2021-09-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,22620334,Toro Campo,Deacon,,"""2021-11-04T00:00:00.000Z"""
21430446,"""2021-09-29T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,18086465,Toro Campo,Toro Campo,,"""2021-11-04T00:00:00.000Z"""
21430451,"""2021-08-10T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,4220795,Abstemio (wagyu),,,"""2021-11-02T00:00:00.000Z"""
21430459,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,25836349,Toro Campo,Subtantial,,"""2021-11-04T00:00:00.000Z"""
21430461,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,16464039,Toro Campo,Subtantial,,"""2021-11-04T00:00:00.000Z"""
21430467,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,12546517,Toro Campo,,,"""2021-11-04T00:00:00.000Z"""
21430474,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Vacía,En Leche,,3,14476112,Toro Campo,,,"""2021-11-04T00:00:00.000Z"""
21430479,"""2021-07-24T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,16464664,,Toro Campo,,"""2021-12-20T00:00:00.000Z"""
21430503,"""2021-09-30T00:00:00.000Z""",Vaca,Angus Negro,San Pedro,Preñada,En Leche,,3,20055868,Toro Campo,,,"""2021-11-03T00:00:00.000Z"""
